month,workspace_id,service,cost_usd
2024-03,ws-0055,egress,29.85
2025-04,ws-0077,storage,323.37
2024-07,ws-0124,storage,352.84
2025-02,ws-0076,egress,13.99
2026-04,ws-0018,egress,30.31
2024-11,ws-0075,ai_tokens,2.19
2024-09,ws-0061,egress,18.71
2025-08,ws-0061,storage,40.41
2025-11,ws-0103,ai_tokens,5.46
2025-12,ws-0001,egress,165.35
2026-05,ws-0055,storage,71.51
2025-09,ws-0125,egress,90.09
2026-03,ws-0040,compute,27.50
2026-04,ws-0042,egress,35.97
2025-07,ws-0090,compute,158.25
2024-11,ws-0125,ai_tokens,36.36
2024-06,ws-0094,storage,6.78
2025-09,ws-0122,ai_tokens,179.32
2024-09,ws-0112,ai_tokens,36.47
2025-12,ws-0085,ai_tokens,7.85
2025-04,ws-0112,storage,369.34
2024-08,ws-0079,compute,34.06
2025-04,ws-0047,egress,3.20
2026-01,ws-0120,compute,147.05
2025-09,ws-0060,storage,13.67
2025-01,ws-0017,ai_tokens,44.26
2025-03,ws-0101,egress,20.33
2025-03,ws-0040,ai_tokens,1.81
2024-07,ws-0012,storage,52.96
2025-07,ws-0051,ai_tokens,35.94
2026-02,ws-0040,egress,5.96
2024-03,ws-0032,storage,5.15
2024-12,ws-0029,egress,3.49
2024-02,ws-0085,egress,6.36
2025-03,ws-0080,compute,9.32
2025-07,ws-0038,storage,60.50
2026-02,ws-0069,compute,196.15
2026-05,ws-0130,compute,385.53
2024-11,ws-0101,ai_tokens,4.86
2026-06,ws-0068,compute,55.87
2025-04,ws-0084,egress,8.40
2026-03,ws-0041,ai_tokens,49.59
2026-03,ws-0071,egress,20.58
2024-01,ws-0117,compute,134.13
2025-08,ws-0017,egress,126.10
2024-07,ws-0054,ai_tokens,0.52
2025-03,ws-0084,storage,17.08
2026-02,ws-0117,compute,137.45
2024-06,ws-0041,ai_tokens,7.76
2026-06,ws-0038,storage,94.82
2024-10,ws-0133,compute,994.60
2025-03,ws-0133,compute,780.32
2025-10,ws-0070,egress,21.49
2024-07,ws-0073,egress,6.97
2024-04,ws-0054,egress,2.69
2025-04,ws-0132,compute,318.46
2025-10,ws-0073,ai_tokens,4.57
2025-11,ws-0086,ai_tokens,10.62
2025-03,ws-0069,compute,144.34
2025-12,ws-0061,ai_tokens,29.12
2025-06,ws-0040,storage,10.72
2025-07,ws-0035,ai_tokens,6.95
2026-06,ws-0097,ai_tokens,99.69
2026-04,ws-0126,egress,203.16
2024-12,ws-0072,storage,58.33
2025-07,ws-0067,egress,10.94
2026-03,ws-0129,ai_tokens,64.50
2024-11,ws-0031,egress,40.32
2025-10,ws-0027,egress,5.31
2026-03,ws-0130,ai_tokens,156.46
2024-05,ws-0033,egress,49.49
2025-10,ws-0035,storage,19.35
2025-08,ws-0051,compute,169.14
2026-05,ws-0048,ai_tokens,5.35
2026-01,ws-0118,storage,183.94
2024-09,ws-0001,compute,768.16
2024-04,ws-0061,compute,68.77
2025-07,ws-0107,compute,40.99
2025-10,ws-0060,ai_tokens,10.29
2024-10,ws-0034,ai_tokens,34.05
2025-05,ws-0085,compute,39.24
2025-02,ws-0058,egress,13.18
2024-02,ws-0130,compute,317.22
2026-01,ws-0083,ai_tokens,3.27
2024-11,ws-0135,ai_tokens,41.02
2025-03,ws-0123,storage,127.74
2024-06,ws-0075,compute,50.53
2024-05,ws-0026,compute,12.29
2026-02,ws-0101,storage,44.19
2026-03,ws-0016,ai_tokens,9.82
2025-01,ws-0101,ai_tokens,7.07
2026-03,ws-0080,storage,4.58
