workspace_id,customer_id
ws-0002,CUST0002
ws-0003,CUST0003
ws-0004,CUST0004
ws-0005,CUST0005
ws-0006,CUST0006
ws-0007,CUST0007
ws-0008,CUST0008
ws-0009,CUST0009
ws-0010,CUST0009
ws-0011,CUST0009
ws-0012,CUST0010
ws-0013,CUST0011
ws-0014,CUST0012
ws-0015,CUST0013
ws-0016,CUST0014
ws-0017,CUST0015
ws-0018,CUST0016
ws-0019,CUST0017
ws-0020,CUST0017
ws-0024,CUST0020
ws-0025,CUST0021
ws-0026,CUST0022
ws-0027,CUST0023
ws-0028,CUST0024
ws-0029,CUST0025
ws-0030,CUST0026
ws-0031,CUST0027
ws-0032,CUST0028
ws-0033,CUST0029
ws-0034,CUST0030
ws-0036,CUST0032
ws-0037,CUST0033
ws-0038,CUST0034
ws-0039,CUST0035
ws-0040,CUST0036
ws-0041,CUST0037
ws-0043,CUST0039
ws-0043,CUST0089
ws-0044,CUST0040
ws-0045,CUST0041
ws-0046,CUST0042
ws-0047,CUST0043
ws-0048,CUST0043
ws-0049,CUST0043
ws-0050,CUST0044
ws-0051,CUST0045
ws-0052,CUST0046
ws-0053,CUST0034
ws-0053,CUST0047
ws-0054,CUST0047
ws-0056,CUST0016
ws-0056,CUST0049
ws-0057,CUST0050
ws-0058,CUST0050
ws-0059,CUST0051
ws-0060,CUST0052
ws-0061,CUST0053
ws-0062,CUST0054
ws-0063,CUST0055
ws-0064,CUST0056
ws-0065,CUST0057
ws-0066,CUST0058
ws-0067,CUST0058
ws-0068,CUST0058
ws-0069,CUST0059
ws-0070,CUST0060
ws-0071,CUST0061
ws-0073,CUST0063
ws-0074,CUST0064
ws-0075,CUST0065
ws-0076,CUST0066
ws-0077,CUST0067
ws-0078,CUST0068
ws-0080,CUST0070
ws-0081,CUST0070
ws-0082,CUST0070
ws-0083,CUST0071
ws-0084,CUST0072
ws-0085,CUST0072
ws-0086,CUST0072
ws-0087,CUST0073
ws-0088,CUST0073
ws-0089,CUST0074
ws-0091,CUST0076
ws-0092,CUST0076
ws-0093,CUST0076
ws-0094,CUST0077
ws-0095,CUST0078
ws-0096,CUST0079
ws-0097,CUST0080
ws-0098,CUST0081
ws-0099,CUST0082
ws-0101,CUST0084
ws-0102,CUST0085
ws-0103,CUST0086
ws-0104,CUST0087
ws-0105,CUST0088
ws-0106,CUST0088
ws-0107,CUST0089
ws-0109,CUST0091
ws-0110,CUST0092
ws-0111,CUST0093
ws-0112,CUST0094
ws-0113,CUST0095
ws-0114,CUST0095
ws-0115,CUST0095
ws-0116,CUST0096
ws-0117,CUST0097
ws-0118,CUST0098
ws-0119,CUST0099
ws-0120,CUST0100
